,Unnamed: 0,id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event
84326,84326,84327,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,22.629,Two-Handed Backhand,,,RSA,,,Right-Handed,Kevin Anderson,,,,,,,,,1.0,,94.0,1
84327,84327,84328,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,21.013,Two-Handed Backhand,,,BRA,,,Left-Handed,Thomaz Bellucci,,,,,,,,,0.0,,82.0,1
84328,84328,84329,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,25.612,Unknown Backhand,,,ITA,,,Right-Handed,Marco Crugnola,,,,,,,,,0.0,,84.0,1
84329,84329,84330,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,26.513,One-Handed Backhand,,,BIH,,,Right-Handed,Amer Delic,,,,,,,,,0.0,,93.0,1
84330,84330,84331,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,24.889,Two-Handed Backhand,,,SLO,,,Right-Handed,Luka Gregorc,,,,,,,,,0.0,,99.0,1
84331,84331,84332,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,23.615,Two-Handed Backhand,,,RUS,,,Right-Handed,Teymuraz Gabashvili,,,,,,,,,0.0,,87.0,1
84332,84332,84333,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,21.209,One-Handed Backhand,,,AUS,,,Right-Handed,Sam Groth,,,,,,,,,1.0,,100.0,1
84333,84333,84334,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,20.889,Unknown Backhand,,,KAZ,,,Right-Handed,Evgeny Korolev,,,,,,,,,0.0,,82.0,1
84334,84334,84335,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,21.024,Two-Handed Backhand,,,KAZ,,,Right-Handed,Mikhail Kukushkin,,,,,,,,,0.0,,72.0,1
84335,84335,84336,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,29.344,Two-Handed Backhand,,,AUS,,,Right-Handed,Peter Luczak,,,,,,,,,0.0,,77.0,1
84336,84336,84337,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,28.459,Two-Handed Backhand,,,BEL,,,Right-Handed,Xavier Malisse,,,,,,,,,0.0,,83.0,1
84337,84337,84338,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,25.653,Two-Handed Backhand,,,LUX,,,Left-Handed,Gilles Muller,,,,,,,,,0.0,,89.0,1
84338,84338,84339,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,26.465,Two-Handed Backhand,,,USA,,,Right-Handed,Bobby Reynolds,,,,,,,,,0.0,,77.0,1
84339,84339,84340,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,33.965,Unknown Backhand,,,AUS,,,Right-Handed,Joseph Sirianni,,,,,,,,,0.0,,76.0,1
84340,84340,84341,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,28.849,Unknown Backhand,,,ITA,,,Right-Handed,Andrea Stoppini,,,,,,,,,0.0,,79.0,1
84341,84341,84342,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,21.368,Two-Handed Backhand,,,GER,,,Left-Handed,Mischa Zverev,,,,,,,,,0.0,,88.0,1
84342,84342,84343,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,22.629,Two-Handed Backhand,,,RSA,,,Right-Handed,Kevin Anderson,,,,,,,,,0.0,,94.0,1
84343,84343,84344,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,26.513,One-Handed Backhand,,,BIH,,,Right-Handed,Amer Delic,,,,,,,,,0.0,,93.0,1
84344,84344,84345,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,23.615,Two-Handed Backhand,,,RUS,,,Right-Handed,Teymuraz Gabashvili,,,,,,,,,0.0,,87.0,1
84345,84345,84346,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,28.459,Two-Handed Backhand,,,BEL,,,Right-Handed,Xavier Malisse,,,,,,,,,0.0,,83.0,1
84346,84346,84347,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,25.653,Two-Handed Backhand,,,LUX,,,Left-Handed,Gilles Muller,,,,,,,,,1.0,,89.0,1
84347,84347,84348,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,26.465,Two-Handed Backhand,,,USA,,,Right-Handed,Bobby Reynolds,,,,,,,,,0.0,,77.0,1
84348,84348,84349,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,33.965,Unknown Backhand,,,AUS,,,Right-Handed,Joseph Sirianni,,,,,,,,,0.0,,76.0,1
84349,84349,84350,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,28.849,Unknown Backhand,,,ITA,,,Right-Handed,Andrea Stoppini,,,,,,,,,0.0,,79.0,1
84350,84350,84351,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,26.513,One-Handed Backhand,,,BIH,,,Right-Handed,Amer Delic,,,,,,,,,1.0,,93.0,1
84351,84351,84352,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,23.615,Two-Handed Backhand,,,RUS,,,Right-Handed,Teymuraz Gabashvili,,,,,,,,,0.0,,87.0,1
84352,84352,84353,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,26.465,Two-Handed Backhand,,,USA,,,Right-Handed,Bobby Reynolds,,,,,,,,,0.0,,77.0,1
84353,84353,84354,2009,O,Brisbane,,AUS,$,484750.0,atp250,Hard,,,,,,33.965,Unknown Backhand,,,AUS,,,Right-Handed,Joseph Sirianni,,,,,,,,,1.0,,76.0,1
84354,84354,84355,2009,O,Brisbane,172.0,AUS,$,484750.0,atp250,Hard,77.77777777777779,27.58620689655172,64.0,38.095238095238095,23.0,24.763,Two-Handed Backhand,0.0,100.0,CRO,3.0,59.01639344262295,Right-Handed,Mario Ancic,0.0,77.77777777777779,18.0,31.00775193798449,65.68144499178982,298.5719489981785,18.0,72.1311475409836,2.0,50.99601593625498,82.0,1
84355,84355,84356,2009,O,Brisbane,127.0,AUS,$,484750.0,atp250,Hard,66.12903225806451,39.62264150943396,45.94594594594595,40.0,10.0,27.04,Two-Handed Backhand,55.55555555555556,33.33333333333333,FRA,9.0,62.62626262626263,Right-Handed,Julien Benneteau,33.33333333333333,46.66666666666666,15.0,39.77272727272727,168.51153039832286,222.36790749693972,15.0,58.58585858585859,0.0,49.73262032085562,79.0,1
84356,84356,84357,2009,O,Brisbane,67.0,AUS,$,484750.0,atp250,Hard,84.84848484848484,44.44444444444444,35.294117647058826,70.83333333333334,5.0,23.298,Two-Handed Backhand,62.5,80.0,CZE,2.0,66.0,Right-Handed,Tomas Berdych,62.5,-12.5,8.0,56.86274509803921,240.27777777777777,176.64260249554366,8.0,68.0,0.0,62.37623762376238,91.0,1
84357,84357,84358,2009,O,Brisbane,86.0,AUS,$,484750.0,atp250,Hard,83.78378378378379,47.82608695652174,41.935483870967744,41.66666666666667,8.0,27.696,One-Handed Backhand,80.0,75.0,USA,5.0,54.41176470588235,Right-Handed,Taylor Dent,40.0,-40.0,10.0,45.71428571428572,209.4927536231884,143.13103236063387,10.0,64.70588235294117,1.0,55.072463768115945,88.0,1
84358,84358,84359,2009,O,Brisbane,133.0,AUS,$,484750.0,atp250,Hard,69.04761904761905,33.33333333333333,53.06122448979592,58.18181818181818,6.0,22.545,One-Handed Backhand,27.77777777777778,60.0,FRA,5.0,46.15384615384615,Right-Handed,Richard Gasquet,38.46153846153847,38.46153846153847,13.0,47.0,157.75446775446773,207.7242281527996,13.0,60.43956043956044,0.0,53.403141361256544,79.0,1
84359,84359,84360,2009,O,Brisbane,90.0,AUS,$,484750.0,atp250,Hard,73.68421052631578,32.25806451612903,47.82608695652174,58.82352941176471,4.0,20.346,Two-Handed Backhand,30.76923076923077,50.0,LAT,2.0,62.29508196721312,Right-Handed,Ernests Gulbis,40.0,40.0,10.0,46.15384615384615,161.85082469712452,225.80537945005065,10.0,63.934426229508205,0.0,54.761904761904766,85.0,1
84360,84360,84361,2009,O,Brisbane,145.0,AUS,$,484750.0,atp250,Hard,81.42857142857143,24.390243902439025,38.70967741935484,47.16981132075472,13.0,28.629,One-Handed Backhand,42.85714285714285,60.0,FRA,3.0,69.3069306930693,Left-Handed,Michael Llodra,18.75,50.0,16.0,37.234042553191486,133.1671980803366,249.4451795409956,16.0,68.31683168316832,1.0,53.333333333333336,80.0,1
84361,84361,84362,2009,O,Brisbane,143.0,AUS,$,484750.0,atp250,Hard,79.72972972972973,22.641509433962263,40.0,43.39622641509434,12.0,27.618,Two-Handed Backhand,20.0,80.0,AUT,4.0,64.91228070175438,Left-Handed,Jurgen Melzer,12.5,-12.5,16.0,33.0188679245283,98.5377358490566,180.1420104314841,16.0,65.78947368421053,1.0,50.0,80.0,1
84362,84362,84363,2009,O,Brisbane,73.0,AUS,$,484750.0,atp250,Hard,92.85714285714286,32.0,45.0,60.0,9.0,26.978,Two-Handed Backhand,44.44444444444444,66.66666666666666,FRA,2.0,58.333333333333336,Right-Handed,Paul-Henri Mathieu,44.44444444444444,44.44444444444444,9.0,46.0,180.8888888888889,247.63492063492063,9.0,72.91666666666666,0.0,59.18367346938776,74.0,1
84363,84363,84364,2009,O,Brisbane,124.0,AUS,$,484750.0,atp250,Hard,65.625,24.444444444444443,60.0,60.86956521739131,2.0,27.448,Two-Handed Backhand,45.45454545454545,40.0,FIN,2.0,71.91011235955057,Left-Handed,Jarkko Nieminen,35.714285714285715,53.333333333333336,14.0,42.85714285714285,166.48284083066693,250.8684456928839,15.0,64.04494382022472,0.0,53.333333333333336,78.0,1
84364,84364,84365,2009,O,Brisbane,59.0,AUS,$,484750.0,atp250,Hard,82.6086956521739,37.93103448275862,63.63636363636363,66.66666666666666,5.0,19.016,Two-Handed Backhand,50.0,0.0,JPN,4.0,51.11111111111111,Right-Handed,Kei Nishikori,50.0,88.88888888888889,8.0,50.943396226415096,204.5977011494253,287.2450592885376,9.0,73.33333333333333,0.0,61.224489795918366,73.0,1
84365,84365,84366,2009,O,Brisbane,66.0,AUS,$,484750.0,atp250,Hard,82.6086956521739,33.33333333333333,65.0,70.0,6.0,30.104,Two-Handed Backhand,36.36363636363637,,CZE,1.0,53.48837209302325,Right-Handed,Radek Stepanek,50.0,100.0,8.0,48.93617021276596,189.6969696969697,306.09706774519714,8.0,74.4186046511628,0.0,61.11111111111112,76.0,1
84366,84366,84367,2009,O,Brisbane,84.0,AUS,$,484750.0,atp250,Hard,82.97872340425532,24.390243902439025,50.0,57.692307692307686,6.0,27.852,Two-Handed Backhand,20.0,66.66666666666666,FRA,2.0,61.03896103896104,Right-Handed,Florent Serra,20.0,54.54545454545454,10.0,37.3134328358209,122.08255159474672,252.5631389886709,11.0,70.12987012987013,1.0,54.86111111111112,78.0,1
