id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
185226,2017,O,Brisbane,252.0,AUS,$,495630.0,atp250,Hard,72.92,28.07,60.98,50.0,12.0,31.997,Two-Handed Backhand,75.0,75.0,CRO,5.0,53.93,Right-Handed,Ivan Dodig,20.0,6.67,15.0,36.26,173.07,201.49,15.0,67.42,0.0,51.67,81.0,1,183.0
185227,2017,O,Brisbane,59.0,AUS,$,495630.0,atp250,Hard,91.67,36.36,68.18,52.94,9.0,20.228,Two-Handed Backhand,60.0,100.0,USA,3.0,52.17,Right-Handed,Jared Donaldson,33.33,77.78,9.0,42.0,182.64,295.8,9.0,80.43,0.0,60.42,75.0,1,188.0
185228,2017,O,Brisbane,99.0,AUS,$,495630.0,atp250,Hard,80.65,40.62,59.38,36.11,8.0,17.873,Two-Handed Backhand,60.0,0.0,AUS,1.0,49.21,Right-Handed,Alex de Minaur,27.27,81.82,11.0,38.24,164.01,278.04,11.0,69.84,1.0,53.44,69.0,1,183.0
185229,2017,O,Brisbane,77.0,AUS,$,495630.0,atp250,Hard,77.78,33.33,56.0,56.0,5.0,20.491,Two-Handed Backhand,33.33,75.0,USA,1.0,59.02,Right-Handed,Ernesto Escobedo,33.33,30.0,9.0,42.62,156.0,226.79,10.0,68.85,0.0,55.74,82.0,1,185.0
185230,2017,O,Brisbane,106.0,AUS,$,495630.0,atp250,Hard,65.45,29.73,47.37,40.74,2.0,21.263,Two-Handed Backhand,60.0,66.67,JPN,2.0,59.14,Left-Handed,Yoshihito Nishioka,25.0,-25.0,12.0,34.38,155.47,146.96,12.0,58.06,0.0,48.41,64.0,1,170.0
185231,2017,O,Brisbane,93.0,AUS,$,495630.0,atp250,Hard,83.67,25.0,51.61,55.88,16.0,29.005,Two-Handed Backhand,50.0,77.78,USA,3.0,61.25,Right-Handed,Tim Smyczek,30.77,-14.29,13.0,39.19,161.65,195.25,14.0,71.25,0.0,55.84,73.0,1,175.0
185232,2017,O,Brisbane,77.0,AUS,$,495630.0,atp250,Hard,68.18,38.46,76.19,50.0,4.0,27.938,Two-Handed Backhand,50.0,100.0,AUS,2.0,67.69,Left-Handed,John-Patrick Smith,37.5,11.11,8.0,43.75,175.96,225.18,9.0,70.77,0.0,59.29,84.0,1,188.0
185233,2017,O,Brisbane,87.0,AUS,$,495630.0,atp250,Hard,80.95,31.58,48.48,47.06,2.0,18.948,Two-Handed Backhand,100.0,71.43,USA,5.0,56.0,Right-Handed,Frances Tiafoe,30.0,-9.09,10.0,36.36,208.64,173.35,11.0,66.67,1.0,53.85,86.0,1,188.0
185234,2017,O,Brisbane,134.0,AUS,$,495630.0,atp250,Hard,81.48,28.79,42.22,62.79,6.0,20.228,Two-Handed Backhand,33.33,62.5,USA,5.0,54.55,Right-Handed,Jared Donaldson,26.67,13.33,15.0,42.2,151.58,192.58,15.0,63.64,1.0,52.4,75.0,1,188.0
185235,2017,O,Brisbane,139.0,AUS,$,495630.0,atp250,Hard,71.64,33.85,60.53,44.44,5.0,17.873,Two-Handed Backhand,40.0,60.0,AUS,6.0,63.81,Right-Handed,Alex de Minaur,25.0,50.0,16.0,38.18,143.29,244.98,16.0,67.62,0.0,52.56,69.0,1,183.0
185236,2017,O,Brisbane,120.0,AUS,$,495630.0,atp250,Hard,82.98,26.42,53.06,46.67,12.0,20.491,Two-Handed Backhand,100.0,66.67,USA,3.0,48.96,Right-Handed,Ernesto Escobedo,21.43,68.75,14.0,33.73,194.51,262.75,16.0,67.71,0.0,51.96,82.0,1,185.0
